Statistic,Year,Sex,UNIT,VALUE
Births Registered,2021,Male,Number,29823
Births Registered,2021,Female,Number,28620
Births Registered,2022,Male,Number,29400
Births Registered,2022,Female,Number,28140
Births Registered,2023,Male,Number,13940
Births Registered,2023,Female,Number,13475
Deaths Registered,2021,Male,Number,17212
Deaths Registered,2021,Female,Number,15843
Deaths Registered,2022,Male,Number,18346
Deaths Registered,2022,Female,Number,17131
Deaths Registered,2023,Male,Number,16714
Deaths Registered,2023,Female,Number,17240
